index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
194,6,60,120,-3.0,1.0,4,0.9177091355470584
195,3,20,110,-3.0,1.0,2,0.9486381359748657
196,5,50,90,-3.0,0.1,4,0.890965186400513
197,4,40,110,-2.0,0.1,5,0.8607773207302273
198,6,40,90,-3.0,0.1,3,0.9064972587400684
199,6,20,120,-3.0,0.1,5,0.7510128140244581
200,7,50,100,-3.0,1.0,5,0.9109238181215052
202,6,30,130,-2.0,0.1,3,0.8568183982296015
203,10,40,130,-3.0,0.1,4,0.8143976900250274
204,9,30,150,-3.0,0.1,3,0.8013020801832216
205,3,20,100,-3.0,0.5,5,0.8548692661085638
206,9,30,140,-2.0,0.1,4,0.9287388452674801
207,5,50,120,-2.0,0.5,5,0.9121709842077208
208,8,60,90,-2.0,0.1,2,0.8931545957332951
209,2,50,120,-3.0,0.1,5,0.8775415529016355
210,3,40,110,-3.0,0.5,4,0.8868549396435708
213,5,40,90,-2.0,0.5,4,0.8950143323441635
215,10,40,120,-3.0,0.1,4,0.8132375820513768
216,10,20,140,-2.0,0.1,3,0.8316082208882145
217,9,60,110,-3.0,0.1,3,0.8599037027769709
218,10,20,100,-2.0,0.5,4,0.7080508323150674
219,6,60,100,-2.0,0.1,5,0.8755287884772773
220,5,30,100,-3.0,1.0,2,0.8804232562469094
221,8,60,110,-3.0,1.0,4,0.8503037006426295
222,5,30,110,-3.0,0.5,4,0.8535455108378518
223,2,30,140,-2.0,0.1,5,0.8862943364766505
224,7,50,120,-3.0,0.5,2,0.9247100274497219
225,6,50,100,-2.0,0.5,5,0.7446554045094371
226,5,30,140,-2.0,0.5,3,0.9130792314440016
227,2,40,120,-3.0,0.1,5,0.833360415868452
228,4,50,140,-2.0,1.0,4,0.889801600307317
229,2,30,130,-3.0,0.1,5,0.8356141395447955
230,5,60,120,-2.0,1.0,4,0.693900155218192
231,7,30,90,-3.0,0.5,2,0.9710648430213062
232,10,60,100,-3.0,0.5,3,0.9070445950402422
233,6,40,100,-3.0,0.5,4,0.8981580946692986
234,4,30,110,-2.0,0.5,3,0.9027699817839141
235,5,50,130,-3.0,0.1,5,0.8733548055205789
236,7,20,120,-2.0,0.1,2,0.9140887543312547
237,8,50,150,-3.0,0.1,4,0.8446735711566605
238,9,40,120,-3.0,0.1,2,0.8632794522758442
240,9,50,130,-2.0,0.5,4,0.7120356234363544
241,6,60,140,-3.0,0.5,3,0.8662369817439415
242,3,50,90,-3.0,0.1,3,0.7903594999964259
243,6,50,130,-2.0,0.5,5,0.8935791158060256
244,6,30,150,-2.0,1.0,2,0.9616809585958177
246,3,30,100,-2.0,0.5,3,0.9337655997922825
247,7,40,100,-3.0,0.5,5,0.8831567070399955
248,6,20,150,-3.0,0.1,5,0.7532403344537908
249,5,50,140,-3.0,0.5,4,0.895052674609541
250,6,20,120,-3.0,1.0,4,0.9457067757262942
251,9,40,130,-3.0,1.0,3,0.8599610661556072
252,5,50,130,-3.0,1.0,4,0.8363727716964873
253,8,40,110,-3.0,0.5,4,0.897712373880033
254,7,40,110,-2.0,0.5,5,0.9160077945532794
255,5,60,100,-2.0,0.5,5,0.9015392967384597
256,2,40,150,-3.0,0.5,5,0.748293883319134
257,10,60,130,-3.0,0.5,3,0.9021508030194025
