,standard_deviation
Protein_EPDR1,0.47106165152187646
Protein_S100A6,0.47024086599117126
Protein_CRABP2,0.4699281694404072
Protein_FCGR1A,0.46937116465779255
Protein_AZGP1,0.4693538657986814
Protein_TRIL.1,0.46878944186783095
Protein_IL36A.1,0.4684288606519995
Protein_F9.1,0.4679857968800211
Protein_CALY.1,0.46788532602621186
Protein_IGFBP6.1,0.46770076057001464
Protein_LYN,0.46756339545046116
Protein_FOLH1.1,0.4674493933409378
Protein_MIA,0.4670147968595651
Protein_CBR1,0.46691339862167935
Protein_SELE,0.46668056352878423
Protein_CFI,0.4664988644882837
Protein_TREML2,0.4662640780152286
Protein_IGFL1,0.46595956820144924
Protein_CSNK2A1.2,0.46495806541381374
Protein_ALOX15B,0.46452506354639617
Protein_PLG,0.4642013673147774
Protein_CSF2RA,0.46413736025554025
Protein_CLEC11A.1,0.46397827514599893
Protein_FAM189A2,0.4634314695319067
Protein_CXCL9.1,0.4634308351504161
Protein_TMCC3.1,0.4626743362140213
Protein_CST4,0.4623989153774203
Protein_MMP8.1,0.46177668051092824
Protein_CHST15,0.46175052324674515
Protein_EPHA10,0.4615920619180117
Protein_OPRPN,0.46092455169506974
Protein_FGF17,0.4606655784595727
Protein_FUT5,0.46055282685547755
Protein_CTSD,0.4603850976381467
Protein_BRSK2,0.4602011241471692
Protein_CRISP2,0.46011320262779626
Protein_CSRP3,0.4587187196216302
Protein_ANK2,0.4584183269531711
Protein_GALK1,0.45786005575182387
Protein_PSMA2,0.4573876642600577
Protein_CLIC4,0.4572114353868353
Protein_FAM174A,0.4571624195668761
Protein_F5,0.4569879439858403
Protein_ARG1,0.45681575311006867
Protein_ST3GAL6,0.4562585556100632
Protein_KLK7,0.4557822968161174
Protein_EPHB6.1,0.455748627312364
Protein_HSPB1,0.4548434577033585
Protein_SOSTDC1,0.45474910100309934
Protein_TPT1,0.45464876388400594
Protein_PRB4,0.45463980385283836
Protein_GOT1,0.4546096053721045
Protein_MICB.1,0.453095062730651
Protein_WFIKKN2.1,0.4519994520507898
Protein_ADAMTS13,0.4511824845977888
Protein_PRKCD,0.4508452421549332
Protein_SEMA3C,0.4495035401244243
Protein_RBP4.1,0.44869454678852394
Protein_IL1RAP.1,0.4480467533245319
Protein_QSOX2,0.447912079604573
Protein_ICOSLG.1,0.4476844218622873
Protein_LRTM2,0.44742641662263566
Protein_NLGN1,0.4465961744243345
Protein_FAM234B.1,0.4463294790333489
Protein_PLG.2,0.445236443416777
Protein_LCN1,0.44516185284534043
Protein_PAPPA,0.44489763848087965
Protein_CXCL12,0.44467062374815286
Protein_ASPN,0.4444528904773468
Protein_MATN4,0.4441702393809077
Protein_LINGO3,0.44415672960502356
Protein_IBSP,0.4432543009953793
Protein_GPHB5,0.4431073039269468
Protein_CLGN,0.44216388152434377
Protein_AGRP,0.44209987793329797
Protein_SERPING1.1,0.4419903448318735
Protein_COX6A1,0.44192992418296895
Protein_POSTN.2,0.4415564862803226
Protein_PRDX6,0.44115678798732694
Protein_TNFRSF17,0.4408182092757264
Protein_SIGLEC15,0.44049358092429675
Protein_RNASE3,0.4402877569530917
Protein_DHH,0.4396625616738573
Protein_PARK7,0.43959013413922654
Protein_KLK3.1,0.43954057313384826
Protein_MICB,0.43917966139948234
Protein_FSTL4,0.43902952054180855
Protein_SIAE,0.43901195563380335
Protein_HNRNPF,0.43896300581190184
Protein_CST6.1,0.43783184888888094
Protein_KPNB1,0.4372447433934962
Protein_FGF19.1,0.43699305863734966
Protein_LRRC4B.1,0.43686942178798743
Protein_WFDC1,0.436828181865654
Protein_S100A4.1,0.4361185995442677
Protein_IGFBP3,0.43549696538066157
Protein_SLPI,0.4352506249914615
Protein_B4GALT1,0.4346662143150906
Protein_CHRDL1,0.4346445870611706
Protein_NHLRC3,0.43464020283523
Protein_ASAH2,0.4345072830679953
Protein_MAGEA4,0.4343892941334949
Protein_KISS1,0.43433124390107597
Protein_CXCL1,0.4339300649267499
Protein_DHPS,0.4338686391191239
Protein_CCL15,0.43350059087302895
Protein_IL18R1.1,0.4332766576744003
Protein_PNKP,0.43324858122186405
Protein_QPCTL,0.43321039286937396
Protein_ADIPOQ,0.4331633001612198
Protein_HBE1.1,0.4331327188126539
Protein_TGFB2,0.43251516606603607
Protein_IL9,0.4323435634299696
Protein_IL1R2,0.432214486950196
Protein_SLITRK4,0.43218132683958876
Protein_KLK10,0.4316854347518001
Protein_S100A4,0.4315671507123092
Protein_STAMBPL1,0.4305394124783317
Protein_PDLIM4,0.42968151549329986
Protein_UBE2J2.1,0.4296555133690232
Protein_ACY1,0.4294373449004933
Protein_FLT1,0.4293619086970356
Protein_SGTA,0.42912403408432204
Protein_SERPINA3,0.4284387706213842
Protein_AXIN2.1,0.4280845543501272
Protein_PCDH8,0.4278254790598436
Protein_MAP4K1,0.4272211000776974
Protein_EDA2R,0.4270884765494272
Protein_INA,0.4261216874371459
Protein_FAM3D,0.426085262632121
Protein_AK1,0.4253679567599881
Protein_TUFT1,0.4248018006492344
Protein_IL17B.1,0.42450374336381386
Protein_MDH1,0.42448003154361413
Protein_MMP9,0.42384169477450656
Protein_PCOLCE2,0.42378529918879293
Protein_TJP1,0.4236555055904996
Protein_TNFAIP6,0.4235841873639386
Protein_CFHR5,0.4228327039867232
Protein_TREM1,0.4227375751570639
Protein_CCL23.1,0.4226568305950079
Protein_ICAM5.1,0.42264399946286746
Protein_CXCL12.1,0.42251749263099353
Protein_UNC5A,0.422406465479615
Protein_KLK14.1,0.42211441042882375
Protein_NR1H4,0.4216596319770281
Protein_IMPAD1,0.4210648898467232
Protein_TREM2.1,0.42059383688193647
Protein_IFI16,0.4204444139456124
Protein_CPN2,0.4204190823687806
Protein_MTHFS,0.4203829867269056
Protein_CFAP45,0.4202472157638721
Protein_MCFD2,0.4200147830754459
Protein_TFPI2,0.4197834271089557
Protein_B4GALT2,0.41972500433760696
Protein_DKK2,0.419717511491498
Protein_CLIC5,0.41937384580733816
Protein_CNTN5,0.41891435373389174
Protein_H1FX,0.4186597995448189
Protein_INHBA.1,0.41820336287079385
Protein_ERP29.1,0.41774527837215686
Protein_C1QTNF3.1,0.4175449888756763
Protein_HSPA1A,0.41691278896139805
Protein_BST1,0.41643255251306616
Protein_HAPLN4,0.4161308612740382
Protein_NETO1,0.41604236378564907
Protein_SURF1,0.4158802328966466
Protein_SAP30,0.4156708205324127
Protein_KIT,0.4155150963854927
Protein_CLEC4G,0.41532634259347434
Protein_PAFAH1B3,0.41483718985082874
Protein_FGF19,0.414803633763185
Protein_PLA2R1,0.4143815129937184
Protein_FGFBP1,0.4143407135242066
Protein_XG,0.41433881126470856
Protein_RTN4R,0.41432768861239805
Protein_IGSF8,0.4140454804514328
Protein_VTN.1,0.4139500385472239
Protein_PRSS27,0.4134850175281041
Protein_LRIT3.1,0.4127964665973272
Protein_NRXN3.1,0.41231147719905153
Protein_MANEA,0.4119280949787669
Protein_EMC4,0.4118011320761318
Protein_NNAT,0.41177870624351126
Protein_DEFB119.1,0.4105333669497123
Protein_SST,0.4102281955634603
Protein_CA10.1,0.4099681108214012
Protein_RNF43,0.4097522231909346
Protein_TPSB2,0.40954305258436174
Protein_PAM,0.4092464328170606
Protein_CA10,0.4088884526245631
Protein_LY6G6C,0.40868001703451
Protein_LMOD1,0.40853438884859067
Protein_SFRP4,0.40807990172792563
Protein_TREM2.2,0.40798527823610764
Protein_ISLR2,0.40789062070028365
Protein_HS3ST1,0.40756631914787583
Protein_CIRBP,0.40752636970575745
Protein_SRSF7,0.40707991505386615
Protein_HNRNPAB,0.4068982209501924
Protein_CLMP.1,0.40687663744206565
Protein_TNFRSF6B,0.40677470216112055
Protein_DPYSL2,0.40676906184912887
Protein_TMEM59L,0.40671452526514795
Protein_TMPRSS5,0.40668310242348943
Protein_KRT18,0.4064289405715322
Protein_DPYSL5,0.4063944737695887
Protein_HDGF,0.4063164500250987
Protein_EFNB3,0.40603245546053246
Protein_CTBS,0.4060023745309519
Protein_H2AFZ,0.4059182672360983
Protein_CYTH4,0.40583645478659036
Protein_DPEP2,0.4058309320044223
Protein_C1GALT1C1,0.4054211837621477
Protein_ATP5J,0.4052951266889538
